Latitude,Longitude
35.6961,139.75904
35.69609,139.75893
35.69608,139.75886
35.69608,139.75879
35.69607,139.75873
35.69607,139.75865
35.69607,139.75856
35.69605,139.75848
35.69602,139.75838
35.69601,139.75829
35.696,139.7582
35.696,139.75809
35.696,139.75799
35.696,139.75786
35.69601,139.75774
35.696,139.75758
35.69598,139.75743
35.69598,139.75731
35.69598,139.75716
35.69595,139.75702
35.69593,139.75688
35.69592,139.75674
35.69592,139.75662
35.69593,139.75649
35.69592,139.75638
35.69592,139.75628
35.69592,139.75623
35.69591,139.75615
35.69592,139.7561
35.69612,139.75602
35.6961,139.75599
35.69608,139.75597
35.69605,139.75595
35.69603,139.75595
35.69602,139.75595
35.69601,139.75594
35.696,139.75594
35.69599,139.75594
35.69596,139.75594
35.69595,139.75594
35.69594,139.75596
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69592,139.75595
35.69588,139.75599
35.69589,139.75597
35.69589,139.75593
35.69589,139.75587
35.69589,139.75581
35.69588,139.75575
35.69588,139.75568
35.69587,139.7556
35.69588,139.75551
35.69587,139.75541
35.69587,139.75532
35.69587,139.75523
35.69587,139.75513
35.69585,139.75502
35.69584,139.7549
35.69583,139.75477
35.69582,139.75465
35.69582,139.75451
35.69581,139.75437
35.69582,139.75424
35.6958,139.7541
35.6958,139.75397
35.69578,139.75384
35.69576,139.7537
35.69573,139.75357
35.69571,139.75343
35.69568,139.75328
35.69566,139.75314
35.69566,139.753
35.69564,139.75286
35.69562,139.75274
35.6956,139.75264
35.69556,139.75252
35.69554,139.75242
35.69554,139.75231
35.69554,139.75222
35.69552,139.75212
35.6955,139.75201
35.69548,139.7519
35.69546,139.7518
35.69544,139.75171
35.69542,139.75164
35.69541,139.7516
35.6954,139.75159
35.6954,139.75158
35.69539,139.75153
35.69538,139.75147
35.69537,139.75137
35.69536,139.75126
35.69535,139.75116
35.69535,139.75111
35.69534,139.75108
35.69534,139.75108
35.69533,139.75106
35.69533,139.75101
35.69532,139.75095
35.69531,139.75089
35.69529,139.75083
35.69528,139.75076
35.69525,139.75069
35.69525,139.75061
35.69523,139.75051
35.69522,139.75044
35.69521,139.75037
35.6952,139.75029
35.69519,139.75022
35.69519,139.75014
35.69518,139.75007
35.69518,139.75001
35.69517,139.74994
35.69516,139.74988
35.69516,139.74982
35.69516,139.74976
35.69516,139.74973
35.69516,139.74969
35.69516,139.74966
35.69516,139.74964
35.69516,139.74963
35.69516,139.74961
35.69516,139.7496
35.69516,139.74958
35.69518,139.74957
35.69518,139.74957
35.69518,139.74956
35.69518,139.74956
35.69518,139.74956
35.69518,139.74956
35.69518,139.74956
35.69517,139.74953
35.69517,139.74952
35.69516,139.74945
35.69515,139.74941
35.69514,139.74937
35.69513,139.74933
35.69512,139.74928
35.6951,139.74923
35.69508,139.74917
35.69506,139.74911
35.69504,139.74905
35.69502,139.74899
35.695,139.74892
35.69498,139.74884
35.69494,139.74875
35.69492,139.74867
35.69489,139.74857
35.69486,139.74847
35.69483,139.74838
35.6948,139.74828
35.69477,139.74819
35.69474,139.74809
35.69471,139.74798
35.69467,139.74787
35.69464,139.74776
35.69461,139.74764
35.69458,139.74752
35.69454,139.74741
35.69451,139.7473
35.69448,139.74718
35.69446,139.7471
35.69444,139.74703
35.69442,139.74697
35.6944,139.74693
35.69439,139.74689
35.69439,139.74685
35.69438,139.74683
35.69438,139.74682
35.69438,139.74682
35.69438,139.74681
35.69438,139.7468
35.69438,139.7468
35.69438,139.74679
35.69438,139.74679
35.69438,139.74678
35.69438,139.74678
35.69438,139.74677
35.69439,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69438,139.74677
35.69436,139.74679
35.69436,139.74678
35.69435,139.74676
35.69432,139.7467
35.69431,139.74663
35.69429,139.74656
35.69427,139.74648
35.69425,139.74638
35.69422,139.74627
35.69419,139.74616
35.69415,139.74604
35.69411,139.74592
35.69407,139.74579
35.69403,139.74566
35.69399,139.74553
35.69395,139.74541
35.69391,139.74528
35.69387,139.74515
35.69383,139.74503
35.69379,139.7449
35.69375,139.74478
35.6937,139.74465
35.69364,139.74453
35.69359,139.74441
35.69354,139.74428
35.69349,139.74416
35.69344,139.74404
35.6934,139.74393
35.69336,139.74382
35.69332,139.74372
35.69329,139.74362
35.69326,139.74354
35.69324,139.74345
35.69322,139.74337
35.69319,139.74328
35.69315,139.74318
35.69312,139.74308
35.69308,139.74297
35.69305,139.74287
35.69302,139.74276
35.69298,139.74265
35.69294,139.74254
35.69291,139.74243
35.69287,139.74232
35.69284,139.74221
35.69281,139.74209
35.69278,139.74198
35.69274,139.74187
35.69271,139.74177
35.69267,139.74166
35.69264,139.74155
35.6926,139.74145
35.69256,139.74133
35.69252,139.74122
35.69249,139.7411
35.69246,139.74096
35.69243,139.74084
35.69239,139.74071
35.69235,139.74058
35.6923,139.74044
35.69227,139.74031
35.69224,139.74018
35.69221,139.74007
35.69217,139.73995
35.69214,139.73985
35.69211,139.73974
35.69208,139.73964
35.69205,139.73953
35.69202,139.73942
35.69199,139.73931
35.69196,139.73919
35.69193,139.73908
35.6919,139.73896
35.69186,139.73884
35.69182,139.73873
35.69179,139.73862
35.69175,139.73852
35.69172,139.73842
35.69168,139.73831
35.69165,139.7382
35.69162,139.7381
35.69159,139.73801
35.69157,139.73794
35.69156,139.73789
35.69155,139.73786
35.69154,139.73783
35.69154,139.73782
35.69153,139.73781
35.69153,139.73779
35.69152,139.73778
35.69152,139.73777
35.69152,139.73777
35.69152,139.73776
35.69152,139.73775
35.69152,139.73774
35.69152,139.73774
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69151,139.73773
35.69149,139.73773
35.69148,139.73769
35.69147,139.73764
35.69146,139.73758
35.69144,139.73751
35.69142,139.73744
35.6914,139.73735
35.69137,139.73726
35.69135,139.73717
35.69133,139.73708
35.6913,139.737
35.69128,139.73692
35.69126,139.73684
35.69123,139.73676
35.69121,139.7367
35.69119,139.73663
35.69118,139.73658
35.69116,139.73652
35.69115,139.73648
35.69114,139.73644
35.69113,139.73641
35.69113,139.7364
35.69112,139.73638
35.69112,139.73637
35.69112,139.73637
35.69112,139.73636
35.69112,139.73635
